location,start,end
Bhur,1996-01-01,2020-08-23
Chamkhar,2003-01-01,2020-08-31
Dagana,2014-01-01,2020-08-31
Damphu,1996-01-01,2020-07-31
Deothang,2003-01-01,2020-08-31
Gasa,2003-01-01,2020-08-31
Haa,1996-01-01,2020-08-31
Kanglung,1996-01-01,2020-08-31
Mongar,1996-01-01,2020-08-31
Paro,1996-01-01,2020-08-31
Pemagatshel,1996-01-01,2020-08-31
Phuntsholing,1996-01-01,2020-07-31
Punakha,1996-01-01,2020-08-31
Simtokha,2000-01-01,2020-08-31
Sipsu,1996-01-01,2020-08-31
Tangmachu,2013-01-01,2020-07-31
Trashiyangtse,1996-01-01,2020-07-31
Trongsa,2000-01-01,2020-07-31
Wangdue,2000-01-01,2020-08-31
Zhemgang,1996-01-01,2020-07-31
